id,user_id,comment
0,hm7qgr,"I recently watched Inside Out 2 with a friend and enjoyed it since it had been a while since the first movie came out and the movie touched on the emotion, anxiety."
1,vsr9awc,The most recent film that I watched and enjoyed was Little Women. I watched it on the plane to Italy!
2,rpk3ve,The most recent film I watched and enjoyed is Exhuma.
3,twf9xn,"Question: In the file, introduce yourself by answering the question: What is the most recent film you watched and enjoyed? Answer: Lover Come Back (1962)"
4,mhe3sy,"What is the most recent film you watched and enjoyed?  Most recently I watched an Indian movie called Srikanth, a story of blind man from poor family who became a successful business."
5,zh2yn,"The last movie I watched was ""Mission Impossible: Rogue Nation"""
6,mm3dc,The most recent film I watched was Crew.
7,bmw8pt,Q: What is the most recent film you watched and enjoyed?  A: Dune Part 2
8,epx8hh,Created a new file with nano! Hello! A recent movie I watched was a horror movie and I can't recall the name!
9,dnb7rz,Ghostbusters - Frozen Empire.  Fun mainstream movie.
10,bnolton,"Hello, my name is Brian Nolton. I have a daughter who is almost 1 so I have not watched much of anything lately. I guess I'll say 'The Beekeeper.' I only watched that becuase I had time on an airplane..."
11,sc8rg,The last film I watched was the horror/thriller movie Smile
12,rzq2rk,The most recent film I watched and enjoyed is Shang-Chi and the Legend of the Ten Rings.
13,ywe4kw,Hello! I've recently been watching through House of the Dragon. I'm about to finish season 1!
14,bat7kt,"I recently watched Jurassic Park, the original. Just as good as I remember it from years ago. Jeff Goldblum is, uhh, INCREDIBLE."
15,nwiradiradja,The most recent film I watched and enjoyed was Now you see me 2
16,cej2vh,"The most recent film I watched and enjoyed was a rewatch of Robert Zemeckis's 1992 classic, Death Becomes Her."
17,wpl3a,I have not seen a film recently.
